,PlanetIdentifier,PeriodDays,SemiMajorAxisAU
1741,Kepler-224 d,11.349393,0.09883746699275543
1742,Kepler-224 b,3.132924,0.04190248282247962
1743,Kepler-224 e,18.643577,0.13760240064395965
1744,Kepler-397 c,135.498527,0.5162929953799283
1745,Kepler-397 b,22.250949,0.15482421111643763
1746,Kepler-797 b,27.07237711,0.1764509946959112
1747,Kepler-272 c,6.057342,0.06503212023025959
1748,Kepler-272 d,10.937304,0.09643026772747453
1749,Kepler-272 b,2.9713529999999997,0.04044914536044538
1750,Kepler-861 b,3.94963138,0.048900229053368
1751,HD 170469 b,1145.0,2.24
1752,HATS-11 b,3.6191612999999996,0.04614
1753,HD 32963 b,2372.0,3.41
1754,Kepler-1303 b,7.56127224,0.07539393894161532
1755,Kepler-61 b,59.877559999999995,0.2995361522445492
1756,Kepler-1197 b,2.03231845,0.03140034044960715
1757,HD 159243 b,12.62,0.11
1758,HD 159243 c,248.4,0.8
1759,Kepler-982 b,15.773822099999999,0.12309237254312767
1760,Kepler-116 b,5.9687339999999995,0.06439636205195953
1761,Kepler-116 c,13.07163,0.10859913044589793
1762,MOA-2011-BLG-322 b,2494.847337213241,3.6
1763,nu Oph b,530.32,1.9
1764,nu Oph c,3186.0,6.1
1765,HD 155358 b,194.3,0.64
1766,HD 155358 c,391.9,1.02
1767,HAT-P-35 b,3.6467,0.0498
1768,Kepler-71 b,3.9050814125,0.048461800000000006
1769,Kepler-998 b,5.65377733,0.06211058937467188
1770,KOI-4427.01,147.6606,0.419
1771,47 UMa b,1078.0,2.1
1772,47 UMa c,2391.0,3.6
1773,47 UMa d,14002.0,11.6
1774,Kepler-526 b,5.45849832,0.0606720455790417
1775,Kepler-1430 b,2.46050993,0.035668917690338364
1776,Kepler-192 b,9.926746000000001,0.09039500989151247
1777,Kepler-192 c,21.2234,0.1500202286889469
1778,Kepler-192 d,6.47027579,0.06795504617778383
1779,HD 6434 b,22.017,0.14800000000000002
1780,Kepler-659 b,17.671796,0.13277826106007676
1781,GJ 180 b,17.38,0.10300000000000001
1782,GJ 180 c,24.329,0.129
1783,Kepler-1585 b,3.5827462999999997,0.04582303893001851
1784,Kepler-273 b,2.936532,0.04013251180653
1785,Kepler-273 c,8.014927,0.07838017540327444
1786,HD 103720 b,4.5557,0.0498
1787,Kepler-123 b,17.232366,0.13056791137156837
1788,Kepler-123 c,26.695073999999998,0.1748077178249849
1789,Kepler-1278 b,3.23941344,0.04284670572307415
1790,HAT-P-5 b,2.788491,0.04079
1791,Kepler-990 b,9.91723428,0.09033725686800051
1792,Kepler-990 c,0.53835431,0.012951457551128082
1793,Kepler-961 b,16.87727414,0.12876803055899044
1794,WASP-42 b,4.9816872000000005,0.0548
1795,HD 150706 b,5894.0,6.7
1796,Kepler-1141 b,2.34451194,0.034538871966646296
1797,HD 220689 b,2209.0,3.36
1798,Kepler-1055 b,2.29503623,0.03405123601086019
1799,Kepler-1526 b,3.908632,0.04856123306316983
1800,Kepler-854 b,2.14463285,0.03254681431573062
1801,7 CMa b,796.0,1.93
1802,HD 131399 Ab,200883.21,80.0
1803,Kepler-1286 b,11.25402929,0.0982830316572108
1804,WASP-79 b,3.6623817,0.0362
1805,Kepler-826 b,4.48758907,0.0532453767887508
1806,Kepler-17 b,1.4857108,0.025910000000000002
1807,EPIC 201465501 b,18.4498,0.091
1808,Kepler-1233 b,45.1263042,0.24806168804347148
1809,KOI-2672.01,88.51658,0.369
1810,KOI-2672.02,42.99066,0.228
1811,Kepler-1147 b,10.62784997,0.09460268447509498
1812,HD 70642 b,2231.0,3.3
1813,BD+20 274 b,578.2,1.3
1814,Kepler-178 b,9.576694,0.0882572228285693
1815,Kepler-178 d,96.678988,0.4122505534986575
1816,Kepler-178 c,20.552802,0.14684321210254953
1817,HD 114386 b,937.0,1.65
1818,HD 114386 c,1046.0,2.016636576788748
1819,RR Cae (AB) b,4350.0,5.3
1820,WASP-24 b,2.3412083,0.0359
1821,Kepler-180 c,41.885775,0.23603924703951576
1822,Kepler-180 b,13.817124,0.11268988966768168
1823,Kepler-1201 b,15.18725932,0.12002161213809007
1824,Kepler-584 b,35.1810304,0.21012556152460618
1825,Kepler-1090 b,198.680179,0.6663609602099531
1826,HD 76700 b,3.971,0.049
1827,Kepler-126 b,10.495711,0.09699999999999999
1828,Kepler-126 d,100.28313399999999,0.43700000000000006
1829,Kepler-126 c,21.869741,0.158
1830,Kepler-1433 b,4.13592271,0.05042603177248807
1831,Kepler-1477 b,11.55530021,0.10002932517963888
1832,Kepler-367 b,37.815723999999996,0.22048961035509873
1833,Kepler-367 c,53.578637,0.2781426733022589
1834,Kepler-348 b,7.056769999999999,0.07200187821904225
1835,Kepler-348 c,17.265427,0.13073485794165923
1836,HD 114783 b,501.0,1.2
1837,WASP-60 b,4.3050011,0.0531
1838,Kepler-122 c,12.465988000000001,0.10521822875239098
1839,Kepler-122 b,5.766193,0.06293119325925739
1840,Kepler-122 d,21.587475,0.1517310332778597
1841,Kepler-122 e,37.993272999999995,0.2211792201370864
1842,Kepler-122 f,56.268,0.28737401969137133
1843,Kepler-283 b,11.008151,0.09684624109564205
1844,Kepler-283 c,92.743711,0.400986264686333
1845,Kepler-23 c,10.742371,0.09528106768119085
1846,Kepler-23 d,15.274299,0.12047974569022109
1847,Kepler-23 b,7.107163000000001,0.07234425259681192
1848,HD 73256 b,2.54858,0.037000000000000005
1849,kappa CrB b,1251.0,2.6
1850,OGLE-TR-56 b,1.2119090000000001,0.0225
1851,WASP-86 b,5.031555,0.0617
1852,HD 191806 b,1606.3,2.8
1853,WASP-17 b,3.735438,0.0515
1854,Kepler-1446 b,0.68996783,0.015281256949542708
1855,Kepler-522 b,38.58422849,0.22346682781995084
1856,Kepler-1324 b,4.11584468,0.05026270242764733
1857,Kepler-1570 b,26.548955,0.1741692457806848
1858,BD+48 738 b,392.6,1.0
1859,Kepler-691 b,8.114379,0.07902722083255628
1860,Kepler-87 b,114.7309,0.47100000000000003
