,PlanetIdentifier,RightAscension,DeclinationAccurate,AngleBtwEarthExoplanetInDeg
92,HD 183263 c,70104.6,8.358027777777778,85.13102448507681
93,HD 154672 b,61805.0,-55.55083333333334,66.64621171518552
94,Kepler-761 b,69721.0,44.14361111111111,36.85429515788106
95,Kepler-1417 b,69828.0,40.60527777777778,121.71592047883226
96,Kepler-196 b,68392.0,42.07916666666667,96.3220264530068
97,Kepler-196 c,68392.0,42.07916666666667,96.3220264530068
98,Kepler-695 b,71836.0,40.822500000000005,76.98663398779209
99,beta Ursae Minoris b,53442.3258,74.15550394444445,113.85805706212076
100,Kepler-225 c,70126.0,47.456944444444446,46.69616776539054
101,Kepler-225 b,70126.0,47.456944444444446,46.69616776539054
102,Kepler-409 b,70483.0,46.8525,42.87667892624663
103,OGLE-TR-10 b,64288.0,-28.12388888888889,44.749065942625776
104,Kepler-128 b,67798.128,43.98017777777778,32.41644605061432
105,Kepler-128 c,67798.128,43.98017777777778,32.41644605061432
106,WASP-11 b,11369.0,30.67361111111111,72.11721188799629
107,Kepler-834 b,68893.0,45.180277777777775,77.00079942353739
108,HATS-18 b,41750.0,-28.156111111111112,52.78969674149971
109,Kepler-654 b,71296.0,46.83416666666667,89.34928768252959
110,KELT-16 b,75424.0,31.66111111111111,81.35074757042982
111,Kepler-603 b,70627.0,42.29083333333333,111.07938140482341
112,Kepler-603 c,70627.0,42.29083333333333,111.07938140482341
113,Kepler-603 d,70627.0,42.29083333333333,111.07938140482341
114,Kepler-579 b,70800.0,39.95305555555556,88.10401529726717
115,HD 106315 b,44033.0,0.6063888888888889,83.40140230307645
116,HD 106315 c,44033.0,0.6063888888888889,83.40140230307645
117,Kepler-1049 b,68963.0,47.77305555555555,61.827332197048904
118,EPIC 206011691 b,81672.89,-13.51101388888889,119.31536549625511
119,EPIC 206011691 c,81672.89,-13.51101388888889,119.31536549625511
120,Kepler-794 b,69152.0,38.996944444444445,82.08132656783734
121,Kepler-756 b,69746.0,41.20111111111111,153.84278849913863
122,Kepler-784 b,71021.0,47.448611111111106,175.4931170052084
123,WASP-62 b,20913.59,-62.011583333333334,51.12213268875065
124,Kepler-150 c,69176.0,40.520833333333336,47.241380509896516
125,Kepler-150 d,69176.0,40.520833333333336,47.241380509896516
126,Kepler-150 e,69176.0,40.520833333333336,47.241380509896516
127,Kepler-150 b,69176.0,40.520833333333336,47.241380509896516
128,Kepler-663 b,71474.0,47.946666666666665,143.01775502619148
129,WASP-14 b,52386.0,21.89472222222222,120.5572710065864
130,Kepler-708 b,70516.0,42.212500000000006,104.95551359795199
131,HD 2952 b,1990.0,54.89472222222222,109.68366247929019
132,WASP-127 b,38534.0,-2.835,42.39490190798964
133,Kepler-699 b,71253.0,41.39611111111111,154.4639681008969
134,Kepler-791 b,70463.0,39.029444444444444,62.67627837652649
135,Kepler-173 c,70715.0,41.88388888888889,101.42978613864932
136,Kepler-173 b,70715.0,41.88388888888889,101.42978613864932
137,Kepler-611 b,68641.0,45.48027777777778,65.96500593114641
138,KOI-1299 b,70387.73,48.285888888888884,116.44258221966268
139,KOI-1299 c,70387.73,48.285888888888884,116.44258221966268
140,Kepler-34 (AB) b,71145.0,44.641666666666666,79.8737538168367
141,Rho Coronae Borealis b,57662.662,33.30350833333333,84.39158681867636
142,Kepler-260 b,70062.0,38.013888888888886,118.77132175700382
143,Kepler-260 c,70062.0,38.013888888888886,118.77132175700382
144,Kepler-906 b,69937.0,40.12555555555556,19.210403446399237
145,KELT-10 b,68291.601,-46.99675555555555,47.380031009586155
146,Gliese 3634 b,39515.0,-30.855833333333333,100.84900681700313
147,Kepler-504 b,68381.0,45.972500000000004,79.93529748705406
148,HD 156279 b,61943.0,63.352222222222224,61.359305685004635
