PlanetIdentifier,PeriodDays,SemiMajorAxisAU,DistFromEarthParsec,ListsPlanetIsOn
Kepler-53 c,38.558585,0.22336780455696542,1430.64,0
Kepler-375 c,19.986326000000002,0.1441324696814486,1323.46,0
Kepler-375 b,12.125933999999999,0.10329595543232416,1323.46,0
HATS-27 b,4.6370379999999995,0.0611,840.0,0
HATS-1 b,3.4464589999999995,0.0444,303.0,0
WASP-142 b,2.052868,0.0347,840.0,0
HD 77338 b,5.7361,0.0611,40.75,0
HD 126614 A b,1244.0,2.35,72.6,2
Kepler-437 b,66.65061999999999,0.28800000000000003,417.0,0
Kepler-287 c,44.851896,0.2470550418088985,1058.96,0
Kepler-287 b,20.342199,0.14583836360250643,1058.96,0
14 Her b,1766.0,2.864,18.1,0
14 Her c,9886.0,9.037,18.1,1
WASP-78 b,2.17517656,0.0415,550.0,0
tau Gem b,305.5,1.17,98.4,2
CoRoT-25 b,4.86069,0.0578,1000.0,0
HATS-2 b,1.354133,0.023,360.0,0
Pr0201 b,4.4264,0.05276026340216085,177.0,7
24 Sex b,452.8,1.3330000000000002,74.8,0
24 Sex c,883.0,2.08,74.8,0
HD 5319 b,641.0,1.6697,114.0,0
HD 5319 c,886.0,2.0709999999999997,114.0,0
HD 93083 b,143.58,0.47700000000000004,28.9,0
HAT-P-30 b,2.810595,0.0419,193.0,2
Kepler-129 b,15.79186,0.13,402.81,0
Kepler-129 c,82.20017,0.392,402.81,0
Kepler-293 b,19.254196,0.14059075911415098,1289.47,0
Kepler-293 c,54.15574300000001,0.28013639099788445,1289.47,0
Kepler-82 b,26.443794,0.1737090161169602,1011.01,0
Kepler-82 c,51.531855,0.2710131522495125,1011.01,0
Kepler-82 e,5.902206,0.06391695726691175,1011.01,0
Kepler-82 d,2.382961,0.034915463102893673,1011.01,0
WASP-66 b,4.086052,0.0546,380.0,0
Kepler-191 c,17.738506,0.1331122046418995,680.33,0
Kepler-191 b,9.939632000000001,0.09047322137054606,680.33,0
Kepler-191 d,5.94504102,0.06422583421894662,680.33,0
HD 7924 b,5.39792,0.056639999999999996,16.82,0
HD 7924 c,15.299000000000001,0.1134,16.82,0
HD 7924 d,24.451,0.1551,16.82,0
Kepler-378 b,16.092361,0.12474400825487357,154.57,0
Kepler-378 c,28.906009,0.18433109627041078,154.57,0
91 Aquarii A b,181.4,0.7,45.93,2
HAT-P-54 b,3.0511357117904714,0.04117,135.8,0
HAT-P-57 b,2.4652950000000002,0.0406,303.0,2
Kepler-329 c,18.684737,0.1378048522392995,390.8,0
Kepler-329 b,7.416397,0.0744277968062234,390.8,0
HD 82943 b,442.4,1.1866,27.46,0
HD 82943 c,219.3,0.7423,27.46,0
HD 143361 b,1057.0,2.0,59.35,0
Kepler-290 c,36.770309999999995,0.21640703649709236,874.46,0
Kepler-290 b,14.589347,0.11685045814758725,874.46,0
KOI-12 b,17.8552332,0.151,426.0,0
Kepler-222 b,3.936981,0.048795757333312206,891.55,0
Kepler-222 d,28.081912,0.18081077165116227,891.55,0
Kepler-222 c,10.08881,0.09137621100666733,891.55,0
HIP 12961 b,57.435,0.13,23.0,0
HAT-P-25 b,3.652836,0.0466,297.0,0
HD 130322 b,10.72,0.08800000000000001,30.0,0
Kepler-106 c,13.5708,0.1113465632702121,453.9,0
Kepler-106 e,43.8445,0.24334173382977348,453.9,0
Kepler-106 b,6.16486,0.06579940946360517,453.9,0
Kepler-106 d,23.9802,0.1627452733808798,453.9,0
2M 2140+16 b,7340.0,3.53,25.0,0
HD 212771 b,373.3,1.22,131.0,0
TrES-5 b,1.4822446000000002,0.02446,360.0,0
WASP-39 b,4.0552589999999995,0.0486,230.0,0
HD 4208 b,829.0,1.7,33.9,0
Kepler-433 b,5.33408384,0.059000000000000004,1870.0,0
WASP-130 b,11.550980000000001,0.1012,180.0,0
HD 79498 b,1966.0,3.13,49.0,0
HD 90156 b,49.77,0.25,39.6,0
Kepler-157 c,13.5405,0.11118076328879349,742.16,0
Kepler-157 b,1.7323419999999998,0.02822900735045988,742.16,0
Kepler-157 d,7.02573474,0.07179061648895245,742.16,0
Kepler-57 b,5.729319599999999,0.06266262006892408,570.05,0
Kepler-57 c,11.6092567,0.10034046895841653,570.05,0
Kepler-115 c,8.990889,0.08462037408621106,706.14,0
Kepler-115 b,2.403679,0.03511754625120933,706.14,0
HD 20003 b,11.849,0.0974,43.8,0
HD 20003 c,33.823,0.1961,43.8,0
HD 131496 b,883.0,2.09,110.0,0
Kepler-41 b,1.8555582,0.031010000000000003,771.43,0
HD 100777 b,383.7,1.03,52.8,0
Kepler-69 b,13.722341,0.094,591.74,0
Kepler-69 c,242.4613,0.64,591.74,0
WASP-58 b,5.017180000000001,0.0561,300.0,0
HD 154345 b,3538.0,4.3,18.06,0
Kepler-280 b,2.1395419999999996,0.03249528830254775,771.8,0
Kepler-280 c,4.807091000000001,0.05574356577287761,771.8,0
HD 96127 b,647.3,1.4,483.0,0
HD 75784 b,341.7,1.073,68.7,0
WASP-20 b,4.8996285,0.06002999999999999,210.0,0
51 Peg b,4.231,0.052000000000000005,14.7,0
Upsilon Andromedae A b,4.61716,0.059408,13.47,2
Upsilon Andromedae A c,241.02,0.8315799999999999,13.47,2
Upsilon Andromedae A d,1282.57,2.5335389999999998,13.47,2
Upsilon Andromedae A e,3848.86,5.2456,13.47,3
OGLE-TR-113 b,1.43247506,0.02288,1500.0,0
HD 187085 b,986.0,2.05,44.98,0
Kepler-288 c,19.305772,0.14084171309135038,1382.99,0
Kepler-288 b,6.097326,0.06531798730862226,1382.99,0
Kepler-288 d,56.633742000000005,0.2886179619312386,1382.99,0
Kepler-289 b,34.545,0.21,700.0,0
PH3 c,66.0634,0.33,700.0,0
Kepler-289 c,125.8518,0.51,700.0,0
TRAPPIST-1 b,1.51087081,0.01111,12.1,0
TRAPPIST-1 c,2.4218233,0.01521,12.1,0
TRAPPIST-1 d,4.0496099999999995,0.02144,12.1,0
TRAPPIST-1 e,6.099615,0.02817,12.1,0
TRAPPIST-1 f,9.20669,0.0371,12.1,0
TRAPPIST-1 g,12.35294,0.0451,12.1,0
TRAPPIST-1 h,20.0,0.063,12.1,1
EPIC 220504338,5.817712,0.0575,553.4,0
HD 231701 b,141.6,0.53,108.4,0
Kepler-358 c,83.48836899999999,0.37384407462786917,1336.21,0
Kepler-358 b,34.060466999999996,0.20563967828333307,1336.21,0
HD 96063 b,361.1,0.99,158.0,0
Kepler-330 c,15.955387,0.12403514117128371,719.8,0
Kepler-330 b,8.259780000000001,0.07996847920483523,719.8,0
Kepler-255 c,9.946047,0.09051214456228397,1287.37,0
Kepler-255 b,5.714606,0.06255529053429583,1287.37,0
Kepler-255 d,1.04562266,0.020161515523112114,1287.37,0
HAT-P-32 b,2.150009,0.0344,283.0,2
Gliese 328 b,4100.0,4.5,19.8,0
YBP1194 b,6.957999999999999,0.07132845216231963,850.0,7
Kepler-384 b,22.597053,0.15642556047817371,482.52,0
Kepler-384 c,45.348269,0.2488744575041934,482.52,0
HD 147873 b,116.596,0.522,104.93,0
HD 147873 c,491.54,1.36,104.93,0
HAT-P-1 b,4.4652934,0.05535,139.0,0
HAT-P-12 b,3.2130598,0.0384,142.5,0
HD 60532 b,201.83,0.77,25.7,0
HD 60532 c,607.06,1.58,25.7,0
EPIC 201736247 b,11.8104,0.091,437.0,0
Kepler-353 c,8.410894,0.08094088651517432,370.06,0
Kepler-353 b,5.795278,0.06314263472631843,370.06,0
HD 89744 A b,256.0,0.88,40.0,2
Kepler-31 b,20.860674,0.148306006649272,1790.6,0
Kepler-31 c,42.632728,0.23883717876652386,1790.6,0
Kepler-31 d,87.648901,0.38616315457896283,1790.6,0
Kepler-99 b,4.60358,0.05415895965463306,221.3,0
MOA-2009-BLG-387L b,1972.3,1.8,5700.0,0
EPIC 201635569 b,8.36802,0.0627,219.0,0
OGLE-06-109L b,1790.0,2.3,1510.0,0
OGLE-06-109L c,4931.0,4.5,1510.0,0
Kepler-158 b,16.709184,0.12791162351277602,345.84,0
Kepler-158 c,28.551383,0.18282038401547845,345.84,0
PH-1 A(ab) b,138.506,0.634,1500.0,4
Kepler-209 b,16.087845,0.12472066921870584,604.83,0
Kepler-209 c,41.749882,0.23552843796559564,604.83,0
Kepler-163 c,21.347262,0.15060335165884087,788.98,0
Kepler-163 b,7.810936999999999,0.07704455307808088,788.98,0
