,PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec
610,HD 69830 d,0,29903.0,-11.368055555555555,124.59583343300999,53.76565999981668,12.6
611,WASP-12 b,2,23433.0,29.672222222222224,97.63750007811,119.41326609975482,250.0
612,HD 23596 b,0,13680.0,40.53055555555555,57.0000000456,125.38797353295368,52.0
613,Kepler-954 b,0,71006.0,47.93944444444444,295.85833357001997,78.9536382506378,
614,Kepler-634 b,0,69887.0,40.70277777777778,291.19583356629,16.550955628063768,
615,OGLE-TR-132 b,0,39034.0,-60.043055555555554,162.64166679678,121.62613424485578,1500.0
616,Kepler-669 b,0,70065.0,49.25388888888889,291.93750023355,92.8430504170357,
617,Gliese 433 b,0,41727.0,-31.459999999999997,173.86250013908997,102.33762960422624,9.04
618,Gliese 433 c,0,41727.0,-31.459999999999997,173.86250013908997,102.33762960422624,9.04
619,Kepler-690 b,0,70678.0,39.771388888888886,294.49166690225996,44.09667628827929,
620,Kepler-380 b,0,67774.0,48.75888888888889,282.39166689257996,112.47235912336649,811.74
621,Kepler-380 c,0,67774.0,48.75888888888889,282.39166689257996,112.47235912336649,811.74
622,HD 67087 b,0,29259.75457,31.55131613888889,121.91564413919917,149.00677736971835,88.8
623,HD 67087 c,0,29259.75457,31.55131613888889,121.91564413919917,149.00677736971835,88.8
624,Kepler-1104 b,0,70672.0,49.33111111111111,294.46666690224,147.25442423943178,
625,Kepler-919 b,0,71548.0,48.49444444444445,298.11666690515995,120.94406724959568,
626,WASP-84 b,0,31466.0,1.86,131.10833343822,55.981151864480864,125.0
627,Kepler-98 b,0,68559.0,37.964444444444446,285.66250022852995,55.036346173949916,437.2
628,Kepler-901 b,0,69877.0,40.8875,291.15416689959,147.46927018379913,
629,HD 43691 b,0,22775.0,41.092222222222226,94.89583340924999,48.83882906895887,93.2
630,WASP-104 b,0,38544.0,7.4350000000000005,160.60000012848,51.52270166004586,143.0
631,HD 46375 A b,2,23592.0,5.462777777777778,98.30000007864,150.62308667511053,33.4
632,Kepler-171 b,0,71225.0,41.75527777777778,296.77083357074997,76.16672628146698,854.42
633,Kepler-171 c,0,71225.0,41.75527777777778,296.77083357074997,76.16672628146698,854.42
634,Kepler-171 d,0,71225.0,41.75527777777778,296.77083357074997,76.16672628146698,854.42
635,Kepler-1307 b,0,70289.0,46.74194444444444,292.87083356763,1.2514790493608774,
636,HD 147018 b,0,58980.0,-60.31111111111112,245.75000019659998,38.140194398005825,42.96
637,HD 147018 c,0,58980.0,-60.31111111111112,245.75000019659998,38.140194398005825,42.96
638,EPIC 204129699 b,0,58908.801,-22.452133333333332,245.45333769636264,69.47337673094962,
639,CoRoT-20 b,0,23453.0,0.22694444444444445,97.72083341150999,106.53185447757643,1230.0
640,Kepler-1519 b,0,71200.0,49.46194444444445,296.66666690399995,156.85895221586634,
641,Kepler-346 b,0,69122.0,46.1175,288.00833356374,73.49542832963405,1384.64
642,Kepler-346 c,0,69122.0,46.1175,288.00833356374,73.49542832963405,1384.64
643,Kepler-323 c,0,69931.0,38.12722222222222,291.37916689977,131.76260085411613,499.35
644,Kepler-323 b,0,69931.0,38.12722222222222,291.37916689977,131.76260085411613,499.35
645,Kepler-590 b,0,71133.0,48.233333333333334,296.38750023711,122.65260704436903,
646,HD 136418 b,0,55147.0,41.733333333333334,229.77916685049,77.96931989444344,98.2
647,Kepler-232 b,0,70995.0,51.12166666666667,295.81250023664995,46.51475814291466,1323.08
648,Kepler-232 c,0,70995.0,51.12166666666667,295.81250023664995,46.51475814291466,1323.08
649,Kepler-1039 b,0,71598.0,45.315555555555555,298.32500023866,60.70631256031315,
650,Kepler-1365 b,0,70128.0,42.04611111111111,292.20000023375997,126.82063928715192,
651,Kepler-1365 c,0,70128.0,42.04611111111111,292.20000023375997,126.82063928715192,
652,HD 98219 b,0,40667.0,-22.024722222222223,169.44583346889,154.6473664039811,134.0
653,Kepler-1095 b,0,70383.0,41.365,293.26250023460994,54.93804090942587,
654,TrES-2,2,68834.0,49.31638888888889,286.80833356278,80.56638575459851,213.0
655,Kepler-1128 b,0,70335.0,39.40333333333333,293.06250023445,70.32800768180192,
656,Kepler-398 b,0,69952.0,40.343611111111116,291.46666689984,110.09832783343468,187.15
657,Kepler-398 c,0,69952.0,40.343611111111116,291.46666689984,110.09832783343468,187.15
658,Kepler-398 d,0,69952.0,40.343611111111116,291.46666689984,110.09832783343468,187.15
659,HATS-23 b,0,68728.0,-49.0675,286.36666689576,47.29279984146613,747.0
660,Kepler-1418 b,0,67919.0,41.67861111111111,282.99583355973,95.40699189903997,
661,Kepler-1148 b,0,69829.0,45.71944444444445,290.95416689943,64.9764910323493,
662,Kepler-1438 b,0,69430.0,40.681666666666665,289.29166689809995,97.84939513958842,
663,HD 25171 b,0,14149.0,-64.81333333333333,58.95416671382999,90.2609261806199,55.0
664,HD 109271 b,0,45215.0,-10.378333333333332,188.39583348404997,89.30560648447722,62.0
665,HD 109271 c,0,45215.0,-10.378333333333332,188.39583348404997,89.30560648447722,62.0
666,WASP-2 A b,2,73854.0,6.429444444444445,307.72500024617995,41.78130130889836,165.8
667,WASP-109 b,0,55693.23,-15.589222222222222,232.0551251856441,30.12786862090347,330.0
