PlanetIdentifier,TypeFlag,RightAscension,DeclinationAccurate,RightAscensionInDegrees,AngleBtwEarthExoplanetInDeg,DistFromEarthParsec,ListsPlanetIsOn
Kepler-166 c,0,70358.0,48.88111111111111,293.15833356786,123.70400064988188,639.62,0
Kepler-166 d,0,70358.0,48.88111111111111,293.15833356786,123.70400064988188,639.62,0
Kepler-8 b,0,67509.0,42.45111111111111,281.28750022503,110.94041174706996,1330.0,0
HAT-P-56 b,0,24203.5295,27.252282833333332,100.84803966401175,73.83658365190337,310.5,0
Kepler-266 b,0,70676.0,44.166666666666664,294.48333356892,34.03438306215999,1577.36,0
Kepler-266 c,0,70676.0,44.166666666666664,294.48333356892,34.03438306215999,1577.36,0
HD 12661 b,0,7474.0,25.414166666666667,31.141666691579996,61.452964018133876,37.16,0
HD 12661 c,0,7474.0,25.414166666666667,31.141666691579996,61.452964018133876,37.16,0
Kepler-213 b,0,69797.0,44.64694444444444,290.82083356599,60.829529979646416,702.35,0
Kepler-213 c,0,69797.0,44.64694444444444,290.82083356599,60.829529979646416,702.35,0
HD 128311 b,0,52560.0,9.746388888888887,219.00000017519997,126.6735628085875,16.6,0
HD 128311 c,0,52560.0,9.746388888888887,219.00000017519997,126.6735628085875,16.6,0
WASP-49 b,0,21861.0,-15.034722222222223,91.08750007286999,156.800591291018,170.0,0
Kepler-44 b,0,72025.0,45.76222222222222,300.10416690675,70.49577632057516,2250.0,0
HD 72892 b,0,30893.0,-13.456666666666667,128.72083343631,146.13009862513996,72.78,0
WASP-138 b,0,9993.0,0.5361111111111111,41.63750003331,30.6094142160037,308.0,0
Kepler-242 b,0,68775.0,41.80833333333333,286.56250022924996,79.44050958229869,859.95,0
Kepler-242 c,0,68775.0,41.80833333333333,286.56250022924996,79.44050958229869,859.95,0
Kepler-170 b,0,68285.0,41.629444444444445,284.52083356095,70.45437873744154,849.82,0
Kepler-170 c,0,68285.0,41.629444444444445,284.52083356095,70.45437873744154,849.82,0
CVSO 30 b,0,19508.0,1.5733333333333333,81.28333339835999,66.7540457959879,330.0,0
CVSO 30 c,0,19508.0,1.5733333333333333,81.28333339835999,66.7540457959879,330.0,0
HD 175167 b,0,68401.0,-68.05583333333333,285.00416689467,37.7601233801482,67.02,0
Kepler-94 b,0,67487.0,47.496944444444445,281.19583355828996,47.44387585339996,223.0,0
Kepler-94 c,0,67487.0,47.496944444444445,281.19583355828996,47.44387585339996,223.0,0
TYC 3667-1280-1 b,0,3092.9649,58.426185555555556,12.887353760309882,82.39047694055078,481.0,0
HD 202206 b,0,76497.0,-19.210833333333333,318.73750025499,168.6913793494266,46.34,0
HD 202206 c,0,76497.0,-19.210833333333333,318.73750025499,168.6913793494266,46.34,0
EPIC 201828749 b,2,42157.042,5.894322222222222,175.65434180719012,71.8433625246912,146.0,3
HD 131664 b,0,54006.08,-72.46466666666667,225.0253335133536,144.85997542576112,55.43,1
wasp-92 b,0,59206.0,51.04111111111111,246.69166686401996,106.8895581469879,530.0,0
OGLE-2015-BLG-0954L b,0,64844.0,-27.660833333333336,270.18333354948,146.70546733364642,600.0,0
Kepler-395 c,0,70442.0,45.13638888888889,293.50833356813996,54.72356945713039,537.21,0
Kepler-395 b,0,70442.0,45.13638888888889,293.50833356813996,54.72356945713039,537.21,0
HD 9174 b,0,5401.0,-18.604444444444447,22.504166684669997,85.5857739071073,78.93,0
EPIC 201855371 b,0,42799.146,6.412261111111111,178.32977514266383,119.97947271610734,134.0,0
HD 66428 b,0,29008.7,-0.8373055555555555,120.869583430029,153.13968097867883,54.9,0
